create table big_test(attr1 Integer primarykey, attr2 Double, attr3 integer, attr4 varchar(50));
insert into big_test values(0, 4.794, 163, "drndxojyhwvvjjzzaimstsxxvsccbvfvewilpxiuudhboaojgn");
insert into big_test values(1, 4.688, 1814, "tesydkrrpnkhiklhcyqbdpqicgypqhrzxnwmcqiyapoyhzsiqa");
insert into big_test values(2, 6.658, 2972, "uvopxzqxjigeqygxypvokyqhtxgznurqnrwntvlwvllpwzgdnb");
insert into big_test values(3, 5.602, 2537, "gnpabxpqtnavejlddzugnhhgyacmzqrfoqjvdbwdgntagzetch");
insert into big_test values(4, 3.602, 1742, "utvufhksscxblbjolpfaehvtzkrpqfzlubixsjnngxeeqrftkg");
insert into big_test values(5, 6.986, 2508, "yxxshayakbshuynhtuzowrsuxyrsivctvpnmswmcbfhozgqacp");
insert into big_test values(6, 4.41, 2187, "xvpvlaojcgdcxhktnegrvjwfbxmiahkvkmfhkxbeifbjcijrhy");
insert into big_test values(7, 0.576, 2627, "xlxalxdqzfoguzilnwqeiclvsungoqzjxnywblgzmrcqvpbcir");
insert into big_test values(8, 3.198, 2857, "yndqehsfxshiqlrkdoorqvjvidluhtevndkboxglxobuiscvzy");
insert into big_test values(9, 1.732, 1673, "atcseojrvadohwnriknshlbyvdumngfrkjgaetwagjvnfmzhng");
insert into big_test values(10, 0.944, 4178, "mkbdfgirhkfunymkllowhugblmljoosbyxjtyrinaltmvhdbuj");
insert into big_test values(11, 5.856, 873, "imwlsneonimwxgirkfntdszuinqxuquiqzsjutzchvseznbkkd");
insert into big_test values(12, 2.902, 4314, "lzdmlbublzojdlxvrdavkuqeptetnsuuwljtxclazdnpqnhziq");
insert into big_test values(13, 6.822, 2240, "kctlexzenhckaevsjcsbjnbqpodrruckjhipcwzjupfpzlyxil");
insert into big_test values(14, 6.882, 2087, "cxsvgxubbyyaoqqxlqpemqauolokmpdmsznfpmhglghsrfdbap");
insert into big_test values(15, 9.086, 3492, "ulodbxiiqcqxyigervtpbmrbuwozewvdhbwyneufptlbakczcr");
insert into big_test values(16, 7.338, 2936, "dyrsieiufiywxfqstabotjedmrvfbqelbsobwickslzjevucvl");
insert into big_test values(17, 6.642, 2354, "hzxzmufnvfhtozqjujgepwymcevpegmbydafwidrpnrmpjfnru");
insert into big_test values(18, 7.324, 3371, "gxyjkvlpdrafaemmtsrpkvdjwifzqiyfsgxalzfbqqtstvgpsj");
insert into big_test values(19, 4.994, 3913, "figjwbpypjpjhdcsnihclgcidchrusobkwetjetsndbpliykyw");
insert into big_test values(20, 7.458, 218, "ykjjzpkrjrefqrlvncxsyudvzebqrgaqupmcalcccfmsvjasbi");
insert into big_test values(21, 8.574, 3243, "hxydndwgpwkrhodujvwarsitjwyriulyyqftkhnqzhrigwhspe");
